job_id,job_title,company,location,address,latitude,longitude,distance_km,distance_label,skill_match,location_score,final_score,recommendation,skill_matches,skill_gaps,salary,employment_type,experience_years,description,redirect_url,location_status
5817921697,PHP Developer,Colan Infotech,"Vellore, Tamil Nadu","India, Tamil Nadu, Vellore",12.93975,79.3664,22.4,Within Area,33.3,10.0,43.3,Possible Match,"[{'candidate_skill': 'java', 'job_skill': 'java', 'score': 1.0, 'type': 'exact'}]","['graphic design', 'javascript', 'wordpress', 'laravel', 'word', 'html', 'css', 'php', 'c', 'it jobs']",,,,"Programming Languages: PHP, JavaScript, WordPress is plus Laravel / CodeIgniter PHP Framework for both front-end and back-end preferred HTML Bootstrap for responsive design JQuery for data processing and querying Social Media Integration Web Site/Graphic Design experience preferred Other Open Source Tools and Technologies Skills: Laravel, Php, Javascript, Css, Html, Codeigniter Experience: 1.00-3.00 Years",https://www.adzuna.in/details/5817921697?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna
5823803142,3 Roller Hydraulic Plate Bending Machine Manufacturers In Vellore,Inforce Engineering,"Vellore, Tamil Nadu","India, Tamil Nadu, Vellore",12.93975,79.3664,22.4,Within Area,0.0,10.0,10.0,Low Match,[],"['c', 'engineering jobs']",,full_time,,"Offers 3 Roller Hydraulic Plate Bending Machine Manufacturers In Vellore Call Now 91-8488800020 WhatsApp 91-8488800020 Availability In Stock Eligible Region Vellore Category Plate Bending Machine, Hydraulic Bending Machine, Plate Bending Rolls, Plate Bender, Plate Roller Payment Methods Cash, COD, DirectDebit Message Now Select Country India (91) Please send me full details/specifications and the best price for ""3 Roller Hydraulic Plate Bending Machine"". Details of 3 Roller Hydraulic Plate Bend…",https://www.adzuna.in/details/5823803142?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna
5847067233,Backend  Agentic Architect,People Prime Worldwide,"Vellore, Tamil Nadu","India, Tamil Nadu, Vellore",12.93975,79.3664,22.4,Within Area,0.0,10.0,10.0,Low Match,[],"['c', 'it jobs']",,full_time,,"We are looking for an experienced Backend  Agentic AI Architect to design and build scalable backend platforms and intelligent agentic AI systems. The candidate will be responsible for backend architecture, AI agent orchestration, LLM integrations, APIs, microservices, data platforms, and enterprise-grade AI solutions. Key Responsibilities Design and architect scalable, secure, and high-performance backend systems. Architect Agentic AI solutions capable of planning, reasoning, tool usage, and a…",https://www.adzuna.in/details/5847067233?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna
5707480346,Business Development Executive - Gold Loan| Vellore,CSB Bank,"Vellore, Tamil Nadu","India, Tamil Nadu, Vellore",12.93975,79.3664,22.4,Within Area,0.0,10.0,10.0,Low Match,[],"['networking', 'marketing', 'sales', 'c', 'sales jobs']",,full_time,,"Description Conduct market research, including area mapping, to identify sales possibilities and evaluate customer needs. Actively seek out new sales opportunities through cold calling, networking, social media, existing customers and leads provided by the Bank. Plan and carry out sales and marketing activities, in the assigned areas/ markets. Plan and organize meeting with potential clients, evaluate their needs and achieve sales of products and services of the Bank. Help branches to plan and …",https://www.adzuna.in/details/5707480346?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna
5846723305,Client & Customer Service Analyst,Deutsche Bank,"Vellore, Tamil Nadu","India, Tamil Nadu, Vellore",12.93975,79.3664,22.4,Within Area,0.0,10.0,10.0,Low Match,[],"['customer service', 'accounting', 'c', 'accounting & finance jobs']",,full_time,,"This job is with Deutsche Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Position Overview Role Description Ensuring DB Service Standards w.r.t. to Customer Service, Compliance and Corporate Security are adhered too. Ensure total Compliance of all audit guidelines set by External (RBI, NSDL) and Internal OR Auditors. Error Free Processing of transactions with in specified SLA’s. En…",https://www.adzuna.in/land/ad/5846723305?se=mGgEanSc8RGlrvMe-VN8Yg&utm_medium=api&utm_source=10d03a1b&v=EDA1F6966260F576633ECD2DC16A0DEC3E2E6852,Coordinates from Adzuna
5843171485,Client & Customer Service Analyst,Deutsche Bank,"Vellore, Tamil Nadu","India, Tamil Nadu, Vellore",12.93975,79.3664,22.4,Within Area,0.0,10.0,10.0,Low Match,[],"['customer service', 'accounting', 'c', 'accounting & finance jobs']",,full_time,,"Job Description: Job Title: Client & Customer Service Analyst Corporate Title: NCT Location: Vellor, India Role Description Ensuring DB Service Standards w.r.t. to Customer Service, Compliance and Corporate Security are adhered too. Ensure total Compliance of all audit guidelines set by External (RBI, NSDL) and Internal OR Auditors. Error Free Processing of transactions with in specified SLA’s. Ensure laid down processes are being followed; DB internal security standards are followed. What we’l…",https://www.adzuna.in/details/5843171485?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna
5533681499,Cluster Relationship Manager - Government Business & TASC| Vellore,CSB Bank,"Vellore, Tamil Nadu","India, Tamil Nadu, Vellore",12.93975,79.3664,22.4,Within Area,0.0,10.0,10.0,Low Match,[],"['accounting', 'excel', 'c', 'accounting & finance jobs']",,full_time,,"Description Responsible for a) Managing & maintaining relationships with new & existing TASC & GB clients b) Opening TASC & GB accounts and Deliver an excellent service c) Generate leads for other banking products offered by the bank like Assets, insurance, TPP etc. Responsibilities Acquisition of HNI Govt & Institutional Banking clients eg: Municipal Corporations, State Government Departments, Central Government Departments, Govt. PF Trusts, Embassies, Gram Panchayats, Govt. Boards & Developme…",https://www.adzuna.in/details/5533681499?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna
5779392787,Collection Manager - Team Lead- Lending Collections,Paytm,"Vellore, Tamil Nadu","India, Tamil Nadu, Vellore",12.93975,79.3664,22.4,Within Area,0.0,10.0,10.0,Low Match,[],"['accounting', 'c', 'accounting & finance jobs']",,,,"About Us: Paytm is India's leading mobile payments and financial services distribution company. Pioneer of the mobile QR payments revolution in India, Paytm builds technologies that help small businesses with payments and commerce. Paytm's mission is to serve half a billion Indians and bring them to the mainstream economy with the help of technology. About the team: Liaison between the creditors and consumers. They are in charge of observing accounts to identify overdue payments, report collect…",https://www.adzuna.in/details/5779392787?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna
4686701358,Content Developer,Company not provided,"Vellore, Tamil Nadu","India, Tamil Nadu, Vellore",12.93975,79.3664,22.4,Within Area,0.0,10.0,10.0,Low Match,[],"['marketing', 'word', 'c', 'pr', 'advertising & marketing jobs']",,,,Job Description: . Research industry-related topics Write a clear marketing copy to promote our products/services Prepare well-structured drafts using Content Management Systems Proofread and edit blog posts before publication. Hands-on experience with Content Management Systems (e.g. Word Press) Coordinate with marketing and design teams to illustrate articles Conduct simple keyword research and use SEO guidelines to increase web traffic Promote content on social media Identify customers’ need…,https://www.adzuna.in/details/4686701358?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna
5541089814,Customer Relationship Officer| Vellore,CSB Bank,"Vellore, Tamil Nadu","India, Tamil Nadu, Vellore",12.93975,79.3664,22.4,Within Area,0.0,10.0,10.0,Low Match,[],"['sales', 'c', 'sales jobs']",,full_time,,"Description Business sourcing and relationship management of sourcing channels , Co-ordination with internal stakeholders, End to End process coordination of loan disbursement Responsibilities Managing and motivating the sales team towards achieving targets. Responsible for empanelment of new dealers and resource allocation. Ensuring process & documentation compliance, FI, agreement execution & credit approval. Hiring, training & development of sales team to achieve targeted numbers. Qualificat…",https://www.adzuna.in/details/5541089814?utm_medium=api&utm_source=10d03a1b,Coordinates from Adzuna
